Date_Heure,y_true,ridge,lgbm,elasticnet
2025-11-21 13:00:00,0.0,-27.97426387350481,12.562530261109089,-20.922482042066008
2025-11-21 14:00:00,0.0,-55.63044692611982,2.8513542227174224,-43.47331547539818
2025-11-21 15:00:00,0.0,-60.07414794854003,6.268739020423568,-62.293037885635954
2025-11-21 16:00:00,0.0,-20.789624153077966,6.570259654648888,-57.267377044616865
2025-11-21 17:00:00,0.3,44.76518045467071,7.8477535439483095,33.274563538367715
2025-11-21 18:00:00,35.87,139.50764555257672,10.980187030034797,82.65991853750222
2025-11-21 19:00:00,108.07,145.89198139116706,46.96398288868819,107.24003391756503
2025-11-21 20:00:00,93.9,199.21392330678577,112.44916962358006,176.0622408456254
2025-11-21 21:00:00,296.73,248.60249148731583,182.22373434029512,199.12772797006664
2025-11-21 22:00:00,452.1,321.53233546511336,272.67319902339455,285.8691091009256
2025-11-21 23:00:00,669.17,469.92286950035384,422.63227371777526,471.4842578728174
2025-11-22 00:00:00,403.18,688.3566886656848,563.8848725728182,663.639228104234
2025-11-22 01:00:00,974.86,461.5388025337133,431.9907561976594,444.0462234300016
2025-11-22 02:00:00,1079.37,1003.1852582000827,941.860162954281,988.2419233102485
2025-11-22 03:00:00,1258.48,1114.0943546182293,1135.750689261738,1099.7850001792954
2025-11-22 04:00:00,1508.33,1301.6968258246943,1340.0910140763199,1256.0622498639723
2025-11-22 05:00:00,1733.75,1501.5933529197664,1443.7879681226675,1470.120168823637
2025-11-22 06:00:00,1539.66,1690.5194015494249,1683.165446750163,1676.0243697602245
2025-11-22 07:00:00,1545.14,1536.526441871291,1602.8477267355902,1523.2448616567171
2025-11-22 08:00:00,1921.16,1569.1466777159026,1685.6981453090007,1556.4272164955773
2025-11-22 09:00:00,1952.28,1915.1705026779405,1896.0586347084354,1897.784686865054
2025-11-22 10:00:00,1866.94,1887.9439274336928,1819.1363249623062,1866.9663003327303
2025-11-22 11:00:00,2074.82,1823.0015612251177,1836.5022779942108,1829.9896475977116
2025-11-22 12:00:00,2114.58,2041.2322736917733,2004.4217478595806,2042.6820685446335
2025-11-22 13:00:00,2151.11,2112.4700830711577,2097.9601272479954,2111.810983925667
2025-11-22 14:00:00,2171.24,2149.355773770229,2141.315282366103,2136.8463372816605
2025-11-22 15:00:00,2178.61,2196.116734011144,2184.1308550446115,2190.420694220399
2025-11-22 16:00:00,2177.73,2186.4237129109515,2170.267089625272,2161.7604882861374
2025-11-22 17:00:00,2188.11,2154.704038621125,2163.617950368268,2138.8312034920327
2025-11-22 18:00:00,2183.63,2151.0705211087957,2171.3941139644944,2144.697597115281
2025-11-22 19:00:00,2182.12,2149.115565947769,2168.366699497463,2146.2490583059994
2025-11-22 20:00:00,2107.19,2134.8757106177372,2178.082835271614,2132.414113142443
2025-11-22 21:00:00,2180.55,2065.6138110428233,2099.7845353822363,2066.469807169326
2025-11-22 22:00:00,2167.42,2146.751977372035,2175.170274418229,2144.687890887332
2025-11-22 23:00:00,2159.76,2149.073591761945,2156.052711370268,2142.874281870878
